Distances

Density function  L_{infty} distance
1                 2e-09
2                 3.2e-09
3                 1.6e-09
4                 4.7e-09
5                 1.07e-08
6                 1e-08
7                 1.583e-08
8                 3.821e-08
9                 5.509e-08
10                2.756e-08
11                4.341e-08
12                5.597e-08
13                1.609e-08
14                2.212e-08
15                0.00145225
16                0.00358855
17                0.00771323
18                0.0154034
19                0.0175173
20                0.0145903
21                0.010592
22                0.0156406
23                0.0160514
24                0.0167561
25                0.0120585
26                0.0230696
27                0.0189123
28                0.034515
29                0.0325445
30                0.0302749
31                0.0292267
32                0.0379797
33                0.0445167
34                0.0486873
35                0.0403256
36                0.0579618
37                0.072456
38                0.0737944
39                0.0662469
40                0.071337

L_{infty} summation = 0.813212

Density function  Dampening
1                 2e-09
2                 1.13137e-09
3                 3.0792e-10
4                 5.875e-10
5                 9.57037e-10
6                 6.80414e-10
7                 8.5474e-10
8                 1.68866e-09
9                 2.04037e-09
10                8.71524e-10
11                1.18987e-09
12                1.34643e-09
13                3.43274e-10
14                4.22273e-10
15                2.4998e-05
16                5.60711e-05
17                0.000110043
18                0.000201701
19                0.000211513
20                0.000163125
21                0.000110065
22                0.000151572
23                0.000145519
24                0.000142514
25                9.64682e-05
26                0.000174013
27                0.000134802
28                0.000232954
29                0.000208392
30                0.000184247
31                0.000169331
32                0.00020981
33                0.000234829
34                0.000245583
35                0.00019475
36                0.000268342
37                0.000321938
38                0.000315027
39                0.000272
40                0.000281984

d_{infty} distance = 0.000321938
